Symbol,ID,is_feature_control,is_feature_control_mitochondrial,is_feature_control_ribosomal,mean_counts,log10_mean_counts,n_cells_by_counts,pct_dropout_by_counts,total_counts,log10_total_counts
CTD-2194L12.2,ENSG00000248539,0,0,0,0.0,0.0,0,100.0,0.0,0.0
CTD-2194L12.3,ENSG00000250032,0,0,0,0.0,0.0,0,100.0,0.0,0.0
CTD-2130F23.2,ENSG00000251518,0,0,0,0.0,0.0,0,100.0,0.0,0.0
CTD-2130F23.1,ENSG00000248533,0,0,0,0.0,0.0,0,100.0,0.0,0.0
CTD-2116N24.1,ENSG00000250003,0,0,0,0.0,0.0,0,100.0,0.0,0.0
CTD-2207A17.1,ENSG00000248461,0,0,0,0.0,0.0,0,100.0,0.0,0.0
EGFLAM,ENSG00000164318,0,0,0,0.0,0.0,0,100.0,0.0,0.0
EGFLAM-AS4,ENSG00000248730,0,0,0,0.0,0.0,0,100.0,0.0,0.0
EGFLAM-AS3,ENSG00000249071,0,0,0,0.0,0.0,0,100.0,0.0,0.0
EGFLAM-AS2,ENSG00000248572,0,0,0,0.0,0.0,0,100.0,0.0,0.0
EGFLAM-AS1,ENSG00000249491,0,0,0,0.0,0.0,0,100.0,0.0,0.0
CTD-2263F21.1,ENSG00000251257,0,0,0,0.0,0.0,0,100.0,0.0,0.0
LIFR,ENSG00000113594,0,0,0,0.0,0.0,0,100.0,0.0,0.0
LIFR-AS1,ENSG00000244968,0,0,0,0.0,0.0,0,100.0,0.0,0.0
CTD-2196P11.2,ENSG00000251189,0,0,0,0.0,0.0,0,100.0,0.0,0.0
LINC01265,ENSG00000249911,0,0,0,0.0,0.0,0,100.0,0.0,0.0
OSMR-AS1,ENSG00000249740,0,0,0,0.0,0.0,0,100.0,0.0,0.0
RP11-122C5.3,ENSG00000250629,0,0,0,0.0,0.0,0,100.0,0.0,0.0
OSMR,ENSG00000145623,0,0,0,0.0001025220422390814,4.4522474989331306e-05,1,99.9897477957761,1.0,0.3010299956639812
RICTOR,ENSG00000164327,0,0,0,0.34078326840270656,0.12735858177119783,2692,72.40106622923929,3324.0,3.5217916496391233
FYB,ENSG00000082074,0,0,0,0.3449866721345089,0.12871798080897193,1427,85.37010457248309,3365.0,3.527114111639805
C9,ENSG00000113600,0,0,0,0.0,0.0,0,100.0,0.0,0.0
DAB2,ENSG00000153071,0,0,0,0.0006151322534344885,0.00026706641114427704,4,99.95899118310436,6.0,0.8450980400142568
CTD-2078B5.2,ENSG00000271334,0,0,0,0.0,0.0,0,100.0,0.0,0.0
LINC00603,ENSG00000250048,0,0,0,0.0,0.0,0,100.0,0.0,0.0
LINC00604,ENSG00000250585,0,0,0,0.0,0.0,0,100.0,0.0,0.0
PTGER4,ENSG00000171522,0,0,0,0.04675005126102112,0.019842990831362695,353,96.38097190896042,456.0,2.6599162000698504
TTC33,ENSG00000113638,0,0,0,0.03147426696739799,0.013458397744492347,290,97.02686077506664,307.0,2.4885507165004443
PRKAA1,ENSG00000132356,0,0,0,0.18535985236825916,0.07385021378354904,1628,83.30941152347755,1808.0,3.257438566859814
AC008810.1,ENSG00000279126,0,0,0,0.0,0.0,0,100.0,0.0,0.0
RPL37,ENSG00000145592,1,0,1,18.318433463194587,1.285971906454529,9527,2.3272503588271487,178678.0,5.2520735132216885
CARD6,ENSG00000132357,0,0,0,0.010867336477342629,0.004694163685663681,105,98.92351855648964,106.0,2.0293837776852097
C7,ENSG00000112936,0,0,0,0.0,0.0,0,100.0,0.0,0.0
MROH2B,ENSG00000171495,0,0,0,0.0,0.0,0,100.0,0.0,0.0
C6,ENSG00000039537,0,0,0,0.0,0.0,0,100.0,0.0,0.0
PLCXD3,ENSG00000182836,0,0,0,0.0,0.0,0,100.0,0.0,0.0
OXCT1,ENSG00000083720,0,0,0,0.1770555669468936,0.07079696568861424,1363,86.02624564281321,1727.0,3.2375437381428744
C5orf51,ENSG00000205765,0,0,0,0.04377691203608776,0.01860768619043112,413,95.76583965552594,427.0,2.6314437690131722
FBXO4,ENSG00000151876,0,0,0,0.075558745130203,0.03163413577335962,676,93.0695099446381,737.0,2.8680563618230415
RP11-112L7.1,ENSG00000260786,0,0,0,0.0,0.0,0,100.0,0.0,0.0
GHR,ENSG00000112964,0,0,0,0.0,0.0,0,100.0,0.0,0.0
CCDC152,ENSG00000198865,0,0,0,0.058950174287471804,0.024875526168788454,514,94.73036702891122,575.0,2.760422483423212
SEPP1,ENSG00000250722,0,0,0,0.000512610211195407,0.00022256674596849525,4,99.95899118310436,5.0,0.7781512503836436
CTD-2325A15.5,ENSG00000272234,0,0,0,0.001742874718064384,0.0007562620289880109,17,99.82571252819356,17.0,1.255272505103306
CTD-2201E18.5,ENSG00000271788,0,0,0,0.0021529628870207095,0.0009340148123568948,21,99.78470371129792,21.0,1.3424226808222062
